time,ElementInt_c,_dt,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
52.4796875,85982720.021463,0.3796875,36,1,16384,42.875893262936,-1.8206820877423,9.0589428659095,-550685.83367187,-3.6413641754846,-550753.46757267
52.859375,86604800.021779,0.3796875,36,1,16384,43.498354452193,-1.8471296005929,9.1903380877328,-558683.01995774,-3.6942592011858,-558751.63599047
53.2390625,87226880.021753,0.3796875,36,1,16384,44.125289854026,-1.8737638634476,9.3226771297128,-566737.85691183,-3.7475277268951,-566807.46213728
53.61875,87848960.02207,0.3796875,36,1,16384,44.756694689235,-1.9005871720009,9.4559580838956,-574850.34455925,-3.8011743440018,-574920.94603246
53.9984375,88471040.021723,0.3796875,36,1,16384,45.392562312423,-1.9275984925993,9.5901782986018,-583020.48290942,-3.8551969851986,-583092.08767745
54.378125,89093120.021624,0.3796875,36,1,16384,46.032891937128,-1.9547977973014,9.7253352981483,-591248.27197909,-3.9095955946028,-591320.88709237
54.7578125,89715200.021769,0.3796875,36,1,16384,46.677682347425,-1.9821862929369,9.8614259115988,-599533.7117751,-3.9643725858738,-599607.34428797
55.1375,90337280.021981,0.3796875,36,1,16384,47.326921594466,-2.0097613213327,9.9984451331572,-607876.80233598,-4.0195226426653,-607951.45928891
55.5171875,90959360.022346,0.3796875,36,1,16384,47.980608668925,-2.0375244264513,10.136389517037,-616277.5436694,-4.0750488529026,-616353.2321077
55.896875,91581440.022274,0.3796875,36,1,16384,48.638726300039,-2.0654746114496,10.27525152668,-624735.93582666,-4.1309492228993,-624812.66277621
56.2765625,92203520.022507,0.3796875,36,1,16384,49.301268286457,-2.0936110789566,10.41502309478,-633251.97884456,-4.1872221579131,-633329.75133494
56.65625,92825600.022772,0.3796875,36,1,16384,49.968204121749,-2.1219323130474,10.555693703039,-641825.67282142,-4.2438646260948,-641904.49784226
57.0359375,93447680.022792,0.3796875,36,1,16384,50.639527310796,-2.1504372676557,10.697248014125,-650457.01778821,-4.3008745353113,-650536.9023468
57.415625,94069760.023241,0.3796875,36,1,16384,51.315197102438,-2.1791223403288,10.839667803988,-659146.0138948,-4.3582446806576,-659226.96495339
57.7953125,94691840.023058,0.3796875,36,1,16384,51.995170007506,-2.2079835707973,10.982925577987,-667892.66128429,-4.4159671415947,-667974.68577315
58.175,95313920.023013,0.3796875,36,1,16384,52.679389879613,-2.2370163846057,11.126982989572,-676696.96017423,-4.4740327692115,-676780.06498801
58.5546875,95936000.023204,0.3796875,36,1,16384,53.367766769228,-2.2662097339133,11.271786449348,-685558.91088949,-4.5324194678266,-685643.10285013
58.934375,96558080.022979,0.3796875,36,1,16384,54.060174722675,-2.2955501683022,11.41725453054,-694478.51388006,-4.5911003366044,-694563.79972044
59.3140625,97180160.023039,0.3796875,36,1,16384,54.756412330067,-2.3250151896743,11.563262017662,-703455.7698854,-4.6500303793486,-703542.15618603
59.69375,97802240.023169,0.3796875,36,1,16384,55.456164969675,-2.3545645092643,11.709611768012,-712490.68004348,-4.7091290185286,-712578.17314988
60.0734375,98424320.023083,0.3796875,36,1,16384,56.158910743549,-2.3841312661117,11.855976236888,-721583.24624336,-4.7682625322235,-721671.85211237
