time,ElementInt_c,W,grain_tracker,num_precipitates,precipitate_area,strain_e11_aux,strain_e12_aux,strain_e22_aux,stress_s11_aux,stress_s12_aux,stress_s22_aux
2328.8221392263,1518657475.3076,60743677572.306,0,1,65536,1166.9110589022,-41.990340282563,-1.2271720208901e-06,-10736141.123729,-83.980680565126,-10738474.945849
2365.8049085725,1540831776.6121,61630649624.482,0,1,65536,1201.4303700411,-43.237091513369,-1.6934382074396e-07,-11051951.666341,-86.474183026738,-11054354.527082
2402.7876779186,1564381228.8579,62572627714.315,0,1,65536,1238.953170065,-44.582693369437,2.7600570717823e-08,-11392358.875372,-89.165386738874,-11394836.781712
2458.2618319378,1600350009.2318,64011378929.271,0,1,65536,1297.3614468524,-46.676506700949,-3.2157333151872e-07,-11922252.985185,-93.353013401898,-11924847.70808
2499.8674474522,1625296098.9159,65009222516.635,0,1,65536,1339.3509377066,-48.173846357504,7.1875901141993e-07,-12296831.881999,-96.347692715008,-12299510.583873
2541.4730629666,1651789232.9337,66068947877.35,0,1,65536,1385.4578872421,-49.812654660113,3.2590044440894e-08,-12700981.905631,-99.625309320226,-12703752.821405
2572.6772746024,1670438368.7883,66814913311.532,0,1,65536,1420.9366918457,-51.044365293761,1.742736799315e-07,-12989383.714399,-102.08873058752,-12992225.587782
2603.8814862382,1690288075.5021,67608901580.083,0,1,65536,1465.1288560653,-52.522872504424,1.2280112571261e-07,-13299891.148258,-105.04574500885,-13302821.40597
2650.6878036919,1720625403.18,68822394687.2,0,1,65536,422.76729291145,-9.1065489036076,-9.0296764199138e-07,-13784875.219288,-18.213097807215,-13785720.753875
2720.8972798725,1766447951.4326,70655296617.302,0,1,65536,441.969798087,-9.1326773962793,-3.6703233163848e-07,-14528881.889983,-18.265354792559,-14529765.82958
2826.2114941433,1835359836.8101,73411772032.403,0,1,65536,152.16326448954,0.5895869522972,-4.3013621109367e-08,-15685556.922755,1.1791739045944,-15685861.249284
2984.1828155495,1938827825.8223,77550491592.893,0,1,65536,4.7959480398152e-07,-7.4056788438442e-07,6.8036259365245e-07,-17504456.165166,-1.4811357687688e-06,-17504456.165166
3221.1397976589,2094086142.1801,83760824247.206,0,1,65536,2889.7687375196,-22.711641963624,1354.7015419583,-20410139.726461,-45.423283927248,-20413209.860852
3398.8575342409,2200845239.5051,88031188140.203,0,1,65536,889.65384050002,-4.7406336063817,389.45189863497,-22552269.413003,-9.4812672127633,-22553269.816887
3576.5752708229,2314077663.6273,92560485105.094,0,1,65536,338.13558609488,-0.33501739742286,108.52834156342,-24934831.470357,-0.67003479484572,-24935290.684846
3843.1518756959,2486960664.7574,99475805150.296,0,1,65536,-9.7081057082171e-10,-1.2859206398319e-07,-1.0722713550404e-08,-28801026.512174,-2.5718412796638e-07,-28801026.512174
4043.0843293507,2606841831.5901,104271051823.6,0,1,65536,4521.8962390652,-50.833799644192,2191.4913875427,-31628834.57852,-101.66759928838,-31633495.388223
4243.0167830054,2734154032.6069,109363539864.28,0,1,65536,1383.2589147948,-16.796776199994,606.04362952855,-34806211.336386,-33.593552399989,-34807765.766956
4392.9661232465,2823771155.511,112948224780.44,0,1,65536,1044.5132681575,-32.40048793754,162.34964385799,-37127061.52269,-64.80097587508,-37128825.849939
4542.9154634876,2919157396.1613,116763674406.45,0,1,65536,345.57529557576,-2.5428775542345,172.50342583289,-39680023.787292,-5.085755108469,-39680369.931031
4767.8394738492,3064941026.7482,122595019629.93,0,1,65536,3397.7832254591,-140.77419374956,-1.3506317486645e-07,-43733392.340456,-281.54838749913,-43740187.906907
4852.1859777348,3124621974.0444,124982257521.77,0,1,65536,4468.1994599865,-116.06123292369,-3.5930546005147e-07,-45450329.152393,-232.12246584739,-45459265.551314
4936.5324816204,3181367173.0135,127252065480.54,0,1,65536,4627.8594753078,-120.17123883308,6.5795063619589e-08,-47116147.418337,-240.34247766616,-47125403.137287
4968.1624205775,3204007070.4843,128157661379.37,0,1,65536,4691.4319250805,-121.8871029107,2.9187531254138e-06,-47789136.300373,-243.77420582141,-47798519.164217
4999.7923595346,3225373034.1684,129012299926.74,0,1,65536,4752.7940057716,-123.54127590439,-1.4321909134196e-06,-48428630.667357,-247.08255180878,-48438136.255372
5047.2372679703,3256824823.2456,130270371489.82,0,1,65536,4830.9229890892,-125.53927707522,-9.0917637862731e-09,-49377771.238198,-251.07855415044,-49387433.084176
5065.0291086336,3269501342.4033,130777432256.13,0,1,65536,4866.1358175911,-126.43910412669,6.4105346950782e-06,-49762912.29877,-252.87820825338,-49772644.570393
5082.820949297,3281500222.5872,131257387463.49,0,1,65536,4900.348233456,-127.32016484121,5.3926063969811e-07,-50128841.23963,-254.64032968242,-50138641.936096
5109.5087102921,3299180899.5901,131964614543.61,0,1,65536,4952.2158804783,-128.66408735002,-9.4257285354615e-07,-50670486.723228,-257.32817470004,-50680391.154991
5149.5403517846,3325523240.9696,133018308198.78,0,1,65536,5030.8232284904,-130.70539577988,1.2318689186941e-05,-51482877.428833,-261.41079155976,-51492939.075265
5164.5522173444,3336194665.8074,133445165192.3,0,1,65536,5062.5663199547,-131.53136680415,1.3859863372545e-06,-51813820.910849,-263.06273360831,-51823946.043486
5179.5640829041,3346310591.5625,133849802222.5,0,1,65536,5092.8515557832,-132.32074876361,-9.0997689028427e-07,-52128515.814302,-264.64149752723,-52138701.517415
5202.0818812436,3361224090.0115,134446342160.46,0,1,65536,5137.9788846553,-133.49700062071,-4.1576788447628e-06,-52594194.49411,-266.99400124142,-52604470.451887
5235.858578753,3383447868.1817,135335293287.27,0,1,65536,5205.8433763631,-135.26562899938,-5.2598878284016e-06,-53291980.352471,-270.53125799876,-53302392.039234
5261.191101885,3398677282.2204,135944469848.81,0,1,65536,5252.5609089573,-136.48590996271,-2.9584717751163e-06,-53772811.461626,-272.97181992542,-53783316.58345
5286.5236250171,3414821701.7836,136590246631.35,0,1,65536,5302.3657023025,-137.78834238751,6.6392442477081e-07,-54284889.399446,-275.57668477503,-54295494.13085
5324.5224097151,3439467239.9931,137576068159.73,0,1,65536,5378.9906505834,-139.78964110582,5.5736194326528e-08,-55071290.147709,-279.57928221164,-55082048.12901
5353.0214982386,3456555804.2611,138259610730.44,0,1,65536,5432.4041215334,-141.19030185654,-1.4638852690041e-06,-55619879.757359,-282.38060371309,-55630744.565605
5381.5205867622,3474703434.1301,138985515925.2,0,1,65536,5489.4407359088,-142.68842147223,-1.6092977404014e-06,-56205445.015293,-285.37684294446,-56216423.896768
5402.8949031548,3487477791.8494,139496490233.98,0,1,65536,5529.7285635561,-143.75534934396,4.6069864936271e-06,-56619471.163217,-287.51069868793,-56630530.620335
5424.2692195474,3501074492.3714,140040358254.86,0,1,65536,5572.782086432,-144.89939669376,4.8524328946087e-06,-57061819.190213,-289.79879338752,-57072964.754376
5456.3306941364,3521855016.4027,140871579216.11,0,1,65536,5638.9753490176,-146.65314896174,3.1399323461301e-06,-57741207.416887,-293.30629792347,-57752485.367579
5480.3768000781,3536271723.9738,141448247518.95,0,1,65536,5685.0591299563,-147.89499167853,5.6168089486164e-06,-58214902.57196,-295.78998335705,-58226272.690209
5504.4229060199,3551583197.1531,142060706446.13,0,1,65536,5734.1794438374,-149.23285241376,6.7583651173209e-06,-58720116.453813,-298.46570482752,-58731584.812688
5522.4574854762,3562361487.7458,142491838069.83,0,1,65536,5768.750226076,-150.21897516748,2.3098493215912e-06,-59077063.949499,-300.43795033495,-59088601.449946
5540.4920649325,3573833679.2949,142950725731.8,0,1,65536,5805.5480591158,-151.30891010547,-1.2109498470636e-07,-59458180.197538,-302.61782021094,-59469791.293657
5567.5439341169,3591367232.7535,143652067870.14,0,1,65536,5861.9721742478,-152.99741129659,3.3224807793886e-08,-60043027.874448,-305.99482259318,-60054751.818797
5587.8328360052,3603531328.0069,144138631680.28,0,1,65536,5900.4715282908,-154.40423856943,2.7138023028783e-07,-60450456.487436,-308.80847713886,-60462257.430492
5608.1217378936,3616450382.9123,144655393876.49,0,1,65536,5939.8845812036,-156.315982383,-1.2753341138705e-06,-60884685.397913,-312.631964766,-60896565.167078
5623.3384143098,3625544565.5647,145019161182.59,0,1,65536,5958.4242393565,-159.67504178744,1.0434273463034e-06,-61191314.418377,-319.35008357488,-61203231.266853
5638.5550907261,3635224227.179,145406347647.16,0,1,65536,5929.6447254766,-177.82310396183,8.6285808720277e-07,-61518675.821567,-355.64620792367,-61530535.111016
5661.3801053504,3650018162.6123,145998105064.49,0,1,65536,1.3698522536743e-05,24.215023557307,4033.0124527231,-62034309.397271,48.430047114613,-62026243.372393
5695.617627287,3672363440.2749,146891916171,0,1,65536,9598.8006599393,-283.10495084774,873.50688534326,-62770590.526309,-566.20990169548,-62788041.113859
5746.9739101918,3705968192.436,148236106257.44,0,1,65536,9912.1565327062,-380.56845745544,1027.6780501348,-63924089.506947,-761.13691491087,-63941858.463912
5766.2325162811,3719634776.5246,148782769620.98,0,1,65536,10015.977742559,-401.78730198331,1060.5742329278,-64396310.456203,-803.57460396662,-64414221.263222
5785.4911223705,3732604517.952,149301559278.08,0,1,65536,10099.743911846,-413.93911093432,1070.713683842,-64846127.49402,-827.87822186864,-64864185.554476
5799.9350769374,3741325228.1465,149650387685.86,0,1,65536,10151.110002792,-420.25401944732,1075.5343757788,-65149477.174016,-840.50803889463,-65167628.325271
5814.3790315044,3750542791.5846,150019090223.38,0,1,65536,10202.408991572,-424.35451338037,1079.3644011226,-65470890.08532,-848.70902676073,-65489136.174501
5836.0449633549,3764602036.7063,150581460028.25,0,1,65536,15503.510034313,-602.87916201888,1064.0995313301,-65947007.019321,-1205.7583240378,-65975885.840327
5868.5438611306,3785821910.6235,151430254984.94,0,1,65536,10397.300609518,-435.57495928618,1100.8495989304,-66708366.961186,-871.14991857235,-66726959.863207
